SL. No.,,,Complaint Description,,,,Category,CategoryType,Priority,,,,,,
1026,,,Leakage from hand tap of washroom of master bedroom ,,,,Water and Plumbing Work,Improper function of Water Tap,high,,,,,,
1027,,,light not working,,,,Electrical,Light-not working,high,,,,,,
1028,,,From out side of dining room water spillage or water fall in inside of Room.,,,,Civil,Dining Room ceiling plaster,high,,,,,,
1029,,,"MCV is getting tripped while opening the fan switch.
Connection cut by maintenance team.",,,,Electrical,Celing fan-Not working,high,,,,,,
1030,,,Bathroom  jam,,,,Housekeeping,Bathroom Jam,low,,,,,,
1031,,,Wall werness inside bedroom due ro Water sipage . Please resolve. ,,,,Civil,Bedroom-2 brick wall repair,high,,,,,,
1032,,,9229710554,,,,Civil,Kitchen door frame repair,high,,,,,,
1033,,,9229710554,,,,Civil,Granite floor - Repair,low,,,,,,
1034,,,Pipe should be replaced,,,,Water and Plumbing Work,Wash Basin to be checked,high,,,,,,
1035,,,Drain jam,,,,Housekeeping,Back Drain Jam,low,,,,,,
1036,,,Drain jam with leaves.,,,,Housekeeping,Front Drain Jam,low,,,,,,
1037,,,"While switching, some time light an fan working some time not.",,,,Electrical,Switch-Loose connection,low,,,,,,
1038,,,Room no. 439.129 tube light not working,,,,Electrical,Light-not working,high,,,,,,
1039,,,My bedroom door repair,,,,Woodwork,Bedroom-2 door hinge repair,low,,,,,,
1040,,,Need replacement of tap on lower part of basin,,,,Water and Plumbing Work,Improper function of Water Tap,high,,,,,,
1041,,,Replace toilet flush valve ,,,,Water and Plumbing Work,Improper function of Cistern (Repair/Replace),high,,,,,,
1042,,,Deemak spray and mosquito spray outside..,,,,Housekeeping,Mosquito Related Complaint ,high,,,,,,
1043,,,Outside chamber  jam,,,,Civil,Miscellaneous Work,low,,,,,,
1044,,,Front drain jam,,,,Civil,Front Drain Damage,low,,,,,,
1045,,,Water pipe burst,,,,Water and Plumbing Work,Drinking Water Scarcity,low,,,,,,
1046,,,please Collect key from Security Control Room Nildih  ,,,,Civil,New Allotment,high,,,,,,
1047,,,Kitchen floor damage ,,,,Civil,Kitchen floor repair,high,,,,,,
1048,,,Window shutter not working properly ,,,,Civil,Aluminum window shutter- Repair,high,,,,,,
1049,,,Electric spark in meter box and no power ,,,,Electrical,Electric Fire-in Meter,low,,,,,,
1050,,,Kitchen slab damage ,,,,Civil,Misc. requests,high,,,,,,
1051,,,Water leakage from kitchen sink outlet pipe.,,,,Water and Plumbing Work,Wash Basin to be checked,high,,,,,,
1052,,,Right side main door jaam,,,,Woodwork,Repairs to Main Entrance door,high,,,,,,
1053,,,Room. No. Two. Switch. Borad. No. Power,,,,Electrical,Power point-Broken or loose connection,high,,,,,,
1054,,,Kitchen. Tankar. Bej. Dige,,,,Water and Plumbing Work,Area Drinking Water Scarcity,low,,,,,,
1055,,,From one week supply water not clear ,,,,Water and Plumbing Work,Water Quality,low,,,,,,
1056,,,Mosquitos in colony ,,,,Housekeeping,Mosquito Related Complaint ,low,,,,,,
1057,,,N type corridor (outside bath room door area) light not working,,,,Electrical,Corridor/porch light-Not working,low,,,,,,
1058,,,Kitchen floor repair,,,,Civil,Kitchen floor repair,low,,,,,,
1059,,,Aangan floor repair,,,,Civil,Repairs to courtyard floor - Full,low,,,,,,
1060,,,Repair to approach path ,,,,Civil,Repairs to approach path ( road to gate ),low,,,,,,
1061,,,Out house BathRoom holder not working. ,,,,Electrical,Light-not working,high,,,,,,
1062,,,The pipe of the water tap in the washroom has been choked due to which there is very low pressure in the tap.,,,,Water and Plumbing Work,Improper function of Water Tap,low,,,,,,
1063,,,Window broken,,,,Civil,Bedroom-2 window frame repair,high,,,,,,
1064,,,Window broken ,,,,Civil,Bedroom-2 window frame repair,high,,,,,,
1065,,,4 by 1 CFL not working,,,,Electrical,Light-not working,high,,,,,,
1066,,,Window broken ,,,,Civil,Bedroom-3 window frame repair,high,,,,,,
1067,,,Wooden Window & other bags kept of roof star case ,,,,Housekeeping,Garbage Removal,low,,,,,,
1068,,,Outhouse switch board sparking,,,,Electrical,Outhouse/garrage light-Not working,high,,,,,,
1069,,,In drawing room wall damage,,,,Civil,Drawing Room brick wall repair,high,,,,,,
1070,,,Kitchen rack broken. Repair needed,,,,Civil,Kitchen brick wall repair,high,,,,,,
1071,,,Water leakage from bedroom wall. Need to repair,,,,Civil,Bedroom-2 wall plaster,high,,,,,,
1072,,,kitchen mixer power socket not working,,,,Electrical,Socket-Not working,high,,,,,,
1073,,,Near bathroom switch board needs to be changed. Anytime if power gets cut it gets tripped and it takes longer to get back power supply in my home due to it. Need to correct,,,,Electrical,Power point-Broken or loose connection,high,,,,,,
1074,,,2nd room fan and light switch are not working need to change,,,,Electrical,Switch-Not working,low,,,,,,
1075,,,repair need for approach Pata ( Road to gate),,,,Civil,Repairs to approach path ( road to gate ),high,,,,,,
1076,,,Courtyard plastering as it is damaged,,,,Civil,Repairs to courtyard floor - Patch,high,,,,,,
1077,,,Ceiling plaster is falling and creating pa unsafe situation. It may injure anyone anytime ,,,,Civil,Drawing Room ceiling plaster,high,,,,,,
1078,,,Water is leaking so plaster is needed ,,,,Civil,Kitchen ceiling plaster,high,,,,,,
1079,,,Damaged ceiling plaster was repaired more than 2 yrs but till date the painting is not done,,,,Civil,Bedroom-2 Touch up painting,high,,,,,,
1080,,,In front of my house drain water is overflowing,,,,Housekeeping,Man Hole Jam,high,,,,,,
1081,,,Dustbin is full ,,,,Housekeeping,"Bin full, requires lifting",low,,,,,,
1082,,,Creating an unsafe situation and may carries a serious risk of injuring anyone at anytime ,,,,Civil,Bedroom-2 ceiling plaster,high,,,,,,
1083,,,Water getting jammed,,,,Housekeeping,Back Drain Jam,high,,,,,,
1084,,,Building stair light not working ,,,,Electrical,Light-not working,high,,,,,,
1085,,,Everytime water is linking from the top in bathroom from the box shape......,,,,Civil,Bathroom ceiling plaster,low,,,,,,
1086,,,Water is linking from the top in bathroom.... Please come fast to solve the problem.....,,,,Civil,Bathroom ceiling plaster,high,,,,,,
1087,,,Hall socket is broken. Also check earthing,,,,Electrical,Socket-Socket broken,high,,,,,,
1088,,,Inside path is badly damage ,,,,Civil,Repairs to pathway inside bungalows,low,,,,,,
1089,,,9229710554,,,,Housekeeping,Mosquito Related Complaint ,high,,,,,,
1090,,,9229710554,,,,Electrical,Light-not working,high,,,,,,
1091,,,The catchpit behind the building is jam due to which the dirty water gets collected.,,,,Housekeeping,Catchpit Jam,low,,,,,,
1092,,,Maint entry door latch loose ,,,,Woodwork,Drawing Room door shutter repair,low,,,,,,
1093,,,Heavy Water seepage observed in bathroom wall and due to this electrical board also damage.,,,,Civil,Bathroom brick wall repair,high,,,,,,
1094,,,"Team, inside of our building particularly stairs no cleaning is being carried out.",,,,Housekeeping,Improper Cleaning,high,,,,,,
1095,,,No water ,,,,Water and Plumbing Work,Additional Water request,high,,,,,,
1096,,,Broken sink to be replaced ,,,,Civil,Kitchen hinge cleat repair,high,,,,,,
1097,,,Condensor need to change,,,,Electrical,Celing fan-Slow running,high,,,,,,
1098,,,Fan is running very slow,,,,Electrical,Celing fan-Slow running,low,,,,,,
1099,,,9234735227,,,,Electrical,Tube light-Not glowing,high,,,,,,
1100,,,Wireing change ,,,,Electrical,Light-not working,low,,,,,,
1101,,,"FRONT DRAIN JAM
",,,,Housekeeping,Front Drain Jam,low,,,,,,
1102,,,Different door repairs,,,,Woodwork,Latches of  doors - Repair,low,,,,,,
1103,,,Hinge broken,,,,Civil,Bathroom door hinge repair,high,,,,,,
1104,,,The branches of tree in front of the house has grown  restricting the light emitting from the lamp post and causing darkness please clear.,,,,Housekeeping,Bush Cutting Required,low,,,,,,
1105,,,One cat is died on the tree,,,,Housekeeping,Dead Animal Removal,high,,,,,,
1106,,,"Water shortage,, urgent requirement of water tanker ",,,,Water and Plumbing Work,Additional Water request,low,,,,,,
1107,,,Bedroom-2 window wood damage,,,,Woodwork,Bedroom-2 ceiling plaster,high,,,,,,
1108,,,"2nd floor having Quater no M 22/7, 8 & 9 stair light not working",,,,Electrical,Light-not working,high,,,,,,
1109,,,Drange and Floor both are Damage,,,,Civil,Bathroom floor repair,high,,,,,,
1110,,,"2 no's Unused windows are kept at roof stair case, please collect those, area is getting congested",,,,Civil,Misc. requests,low,,,,,,
1111,,,Please supply tanker as soon as possible ,,,,Water and Plumbing Work,Additional Water request,high,,,,,,
1112,,,Regulator to replace ,,,,Electrical,Celing fan-Regulator not functioning,low,,,,,,
1113,,,One socket point of kitchen not working ,,,,Electrical,Power point-Broken or loose connection,low,,,,,,
1114,,,Window not being closed.,,,,Woodwork,Drawing Room window hinge repair,high,,,,,,
1115,,,Water dripping observed in store room during rain. ,,,,Civil,Repairs to roof leakage,low,,,,,,
1116,,,"Hall,2,,4/2,,bathroom,gyer_not, wpking, engineer, s,hall",,,,Electrical,Gyser-Not woking,high,,,,,,
1117,,,The water is getting logged in the bathroom needs to clean the hole,,,,Housekeeping,Bathroom Jam,high,,,,,,
1118,,,"MCB tripping, no power",,,,Electrical,RCBO Defective,low,,,,,,
1119,,,"Sir 

D1/16 hudco telco kitchen basin is choked kindly repair 

Thanks",,,,Water and Plumbing Work,Cleaning of all types of pipe chokages,high,,,,,,
1120,,,"Sir D1/13 third floor corridor light is not working kindly replace bulb 
Thanks",,,,Electrical,Corridor/porch light-Not working,low,,,,,,
1121,,,Toilet Catchpit Jam,,,,Housekeeping,Catchpit Jam,high,,,,,,
1122,,,Front gate drainage jam,,,,Housekeeping,Front Drain Jam,high,,,,,,
1123,,,2 lamp post  lights are not Main road in front of K4 Flats gate  towards TML hospital.,,,,Electrical,Street light-Not working,low,,,,,,
1124,,,"Big pot holes in main road .
Infront of K4 Flats gate towards TML hospital road.",,,,Civil,Repairs to approach path ( road to gate ),low,,,,,,
1125,,,Water Seepage ,,,,Water and Plumbing Work,Pipe Leakage /Burst outside the house,low,,,,,,
1126,,,Additional water tank required ,,,,Water and Plumbing Work,Additional Water request,high,,,,,,
1127,,,All doors and window are jammed and tower bolt not working properly. ,,,,Woodwork,Bedroom-1 door easing,high,,,,,,
1128,,,Tower bolt not working. Plz replace. ,,,,Woodwork,Toilet-1 tower bolt repair,high,,,,,,
1129,,,There is no power in N-207 (1-7 ) full block,,,,Electrical,No power-Complete block,high,,,,,,
1130,,,The door hinge of bathroom is brokrn and lead to falling hazards of door,,,,Civil,Bathroom door hinge repair,high,,,,,,
1131,,,No proper water supply ,,,,Water and Plumbing Work,Drinking Water Scarcity,high,,,,,,
1132,,,Waste to be removed from front drain,,,,Housekeeping,Front Drain Jam,low,,,,,,
1133,,,Facing problem from one week please solve urgent ly,,,,Housekeeping,Kitchen outlet jam,low,,,,,,
1134,,,Urgent,,,,Civil,Bathroom floor repair,high,,,,,,
1135,,,"The outside boundary of the quater has been broken and the toilet door climph has been broken . So it's my humble request to recover it as soon as possible . Address-Cross Road-30,k2-39, Truck park ,Telco Colony.",,,,Civil,Miscellaneous Work,high,,,,,,
1136,,,All window & door not close properly,,,,Woodwork,Repairs to Wooden window shutters,high,,,,,,
1137,,,Window glass missing in bedroom and drawing room ,,,,Civil,Bedroom-2 window glass pane fixing,high,,,,,,
1138,,,U4/1 leakage of toilet water flush please do urgently,,,,Water and Plumbing Work,Other Misc. requests,high,,,,,,
1139,,,Water Pipe clamp damage in the Toilet ,,,,Water and Plumbing Work,Other Misc. requests,high,,,,,,
1140,,,Water chocked in bathroom outlet drain causing smelly and dirty environment,,,,Civil,Front Drain Damage,high,,,,,,
1141,,,"Kitchen cupboard to be repaired as door are damage, ",,,,Woodwork,Wall almirah - Repair,high,,,,,,
1142,,,Bedroom ceiling fan not working ,,,,Electrical,Celing fan-Not working,high,,,,,,
1143,,,Front side drain jam of k2 8&9,,,,Housekeeping,Front Drain Jam,high,,,,,,
1144,,,Bathroom floor  broken ,,,,Civil,Bathroom floor repair,low,,,,,,
1145,,,Bath room  wall broken,,,,Civil,Bathroom brick wall repair,high,,,,,,
1146,,,"Complaint raised on behalf of Mrs M Geeta -Ceiling Fan not working For Quarter No M45/5 .
As their app was not working.",,,,Electrical,Celing fan-Not working,high,,,,,,
1147,,,"My 2nd main door toilet side is new ,but there in no lock system in it.",,,,Woodwork,Locks of doors - Repair,low,,,,,,
1148,,, shutter door was not Rear Axle Old Heat Treatmentopening. ,,,,Steel Works,MS Gate - Repair,high,,,,,,
1149,,,Back door jam,,,,Civil,Miscellaneous Work,high,,,,,,
1150,,,Please Do Urgently ,,,,Water and Plumbing Work,Improper function of Stop cock,high,,,,,,
1151,,,Please Do Urgently,,,,Water and Plumbing Work,Improper function of Water Tap,high,,,,,,
1152,,,Wash basin tap damage,,,,Water and Plumbing Work,Other Misc. requests,high,,,,,,
1153,,,Latin and bathroom back drain jam,,,,Housekeeping,Back Drain Jam,low,,,,,,
1154,,,Washroom light is flickering....,,,,Electrical,Light-not working,high,,,,,,
1155,,,"Kicheen tab no water coming,",,,,Water and Plumbing Work,Additional Water request,low,,,,,,
1156,,,Door is completely destroyed due to rain and termite,,,,Woodwork,Door frames patch/copla/tiles/mosaic - Replacement and paint,high,,,,,,
1157,,,Ceiling fan has stopped working...,,,,Electrical,Celing fan-Not working,high,,,,,,
1158,,,Entire area is damaged and there are cracks on the cover. It needs to be broken and cemented.,,,,Civil,Manhole Covers Damaged/missing,high,,,,,,
1159,,,Repair of damage pathway ,,,,Civil,Repairs to pathway inside bungalows,high,,,,,,
1160,,,Hot water not coming ,,,,Electrical,Gyser-Not woking,low,,,,,,
1161,,,Water leakage during rain in wheel alignment station,,,,Civil,Repairs to roof leakage,high,,,,,,
1162,,,"Catchpit jam, ",,,,Housekeeping,Catchpit Jam,low,,,,,,
1163,,,Wasbasin drain pipe damage & basin looser.,,,,Water and Plumbing Work,Brackets for Wash basin (Replacement),low,,,,,,
1164,,,Leaving room electric board power point not working.,,,,Electrical,Power point-Not working,low,,,,,,
1165,,,Door can't be closed due to broken bolt,,,,Woodwork,Bedroom-2 door hinge repair,low,,,,,,
1166,,, Huse keeping pl.,,,,Housekeeping,Antitermite Treatment,low,,,,,,
1167,,,Not supply water ,,,,Water and Plumbing Work,Other Misc. requests,high,,,,,,
1168,,,No power ,,,,Electrical,No power-Complete Area,high,,,,,,
1169,,,A DOG IS TRAPPED IN THE SEWER AT THE BACK,,,,Housekeeping,Dead Animal Removal,high,,,,,,
1170,,,"K-12/10 Double road,near- goldy store telco,",,,,Civil,Catchpit to manhole hume pipe damage,low,,,,,,
1171,,,Water not passing,,,,Housekeeping,Back Drain Jam,low,,,,,,
1172,,,Water not passing,,,,Housekeeping,Front Drain Jam,low,,,,,,
1173,,,Dining area wash basin drain pipe damaged,,,,Water and Plumbing Work,Additional Water request,low,,,,,,
1174,,,Rat entering,,,,Woodwork,Kitchen door shutter repair,low,,,,,,
1175,,,Toilet jam ,,,,Housekeeping,Toilet Jam,high,,,,,,
1176,,, coridoor in front of  yazaki office,,,,Electrical,Tube light-Not glowing,low,,,,,,
1177,,,Bad smell coming from Bin ,,,,Housekeeping,"Bin full, requires lifting",high,,,,,,
1178,,,The main gate pillar clamp is detached from the pillar ,,,,Civil,Repairs to gate pillar,high,,,,,,
1179,,,Continue water leakage from shower water pipe fittings.,,,,Water and Plumbing Work,Improper function of Shower,low,,,,,,
1180,,,Water leakage. Water flowing intermittently during day and night time. Area has become slippery. Also water getting accumulated in nali. May lead to mosquito in the area. Urgent attention required. Complaint was earlier registered on 4141.,,,,Water and Plumbing Work,Pipe Leakage /Burst outside the house,high,,,,,,
1181,,,Both front and back drain needs cleaning ,,,,Housekeeping,Back Drain Jam,high,,,,,,
1182,,,Tree branch cutting coming on window roof,,,,Woodwork,Misc. requests,low,,,,,,
